status,order_number,ebay_net,dolibarr_net,diff,dolibarr_order_ref,dolibarr_order_id,ebay_rows,ebay_types,invoice_count,invoice_refs,invoice_ids,invoice_types,invoice_amounts,notes
MATCH,01-14514-11442,29.68,29.68,0.00,SO2604-0639,1237,1,Order,1,IN2604-0739,749,invoice,29.68,
NO_LINKED_INVOICES,01-14515-08336,-0.40,0.00,-0.40,SO2604-0650,1248,2,Order|Refund,0,,,,,Sales order SO2604-0650 has no linked invoices/credit notes
MISMATCH,01-14547-13414,-0.70,10.46,-11.16,SO2604-1005,1756,1,Other fee,1,IN2604-1133,1145,invoice,10.46,
MISSING_IN_DOLIBARR,02-14373-06976,2.79,,,,,1,Other fee,0,,,,,No sales order with this ref_client
MATCH,02-14511-68251,32.89,32.89,0.00,SO2604-0635,1227,1,Order,1,IN2604-0686,696,invoice,32.89,
MISMATCH,02-14517-33866,55.56,59.37,-3.81,SO2604-0692,1324,2,Order|Other fee,1,IN2604-0799,810,invoice,59.37,
MISMATCH,02-14529-85718,45.84,49.05,-3.21,SO2604-0855,1573,2,Order|Other fee,1,IN2604-0994,1005,invoice,49.05,
MATCH,02-14534-76719,43.86,43.86,0.00,SO2604-0910,1636,1,Order,1,IN2604-1011,1022,invoice,43.86,
MISMATCH,02-14536-84872,53.60,57.33,-3.73,SO2604-0929,1658,2,Order|Other fee,1,IN2604-1008,1019,invoice,57.33,
MISMATCH,02-14538-79257,9.41,10.04,-0.63,SO2604-0943,1673,2,Order|Other fee,1,IN2604-1000,1011,invoice,10.04,
NO_LINKED_INVOICES,03-14512-17392,0.00,0.00,0.00,SO2604-0658,1256,2,Order|Refund,0,,,,,Sales order SO2604-0658 has no linked invoices/credit notes
MATCH,03-14520-90530,611.78,611.78,0.00,SO2604-0750,1407,1,Order,1,IN2604-0899,910,invoice,611.78,
MISMATCH,03-14523-13946,18.92,20.15,-1.23,SO2604-0777,1435,2,Order|Other fee,1,IN2604-0919,930,invoice,20.15,
MISMATCH,03-14525-18565,28.49,30.45,-1.96,SO2604-0805,1463,2,Order|Other fee,1,IN2604-0934,945,invoice,30.45,
MISSING_IN_DOLIBARR,04-14414-13274,-10.27,,,,,1,Shipping label,0,,,,,No sales order with this ref_client
MATCH,04-14509-55615,441.52,441.52,0.00,SO2604-0648,1246,1,Order,1,IN2604-0726,736,invoice,441.52,
MATCH,04-14516-40601,23.28,23.28,0.00,SO2604-0698,1343,1,Order,1,IN2604-0808,819,invoice,23.28,
MISMATCH,04-14518-12483,68.44,73.05,-4.61,SO2604-0726,1382,2,Order|Other fee,1,IN2604-0882,893,invoice,73.05,
MISMATCH,04-14518-91999,25.70,27.54,-1.84,SO2604-0742,1399,2,Order|Other fee,1,IN2604-0867,878,invoice,27.54,
MISMATCH,04-14534-96713,34.68,37.01,-2.33,SO2604-0937,1667,2,Order|Other fee,1,IN2604-1029,1040,invoice,37.01,
MISSING_IN_DOLIBARR,05-14344-45387,-12.12,,,,,1,Refund,0,,,,,No sales order with this ref_client
MISSING_IN_DOLIBARR,05-14397-45379,-440.78,,,,,3,Other fee|Refund|Shipping label,0,,,,,No sales order with this ref_client
MATCH,05-14522-64001,15.52,15.52,0.00,SO2604-0804,1462,1,Order,1,IN2604-0949,960,invoice,15.52,
MATCH,06-14516-31032,43.35,43.35,0.00,SO2604-0747,1404,1,Order,1,IN2604-0883,894,invoice,43.35,
MISMATCH,06-14518-97065,54.22,57.62,-3.40,SO2604-0782,1440,2,Order|Other fee,1,IN2604-0915,926,invoice,57.62,
MISMATCH,06-14532-61487,24.19,25.88,-1.69,SO2604-0942,1672,2,Order|Other fee,1,IN2604-1060,1071,invoice,25.88,
MISMATCH,06-14539-26557,-13.83,231.32,-245.15,SO2604-1008,1760,1,Other fee,1,IN2604-1155,1167,invoice,231.32,
MATCH,07-14503-36533,57.41,57.41,0.00,SO2604-0629,1220,1,Order,1,IN2604-0693,703,invoice,57.41,
MISMATCH,07-14513-22148,40.93,43.58,-2.65,SO2604-0719,1373,2,Order|Other fee,1,IN2604-0858,869,invoice,43.58,
MATCH,07-14514-06334,69.87,69.87,0.00,SO2604-0734,1390,1,Order,1,IN2604-0861,872,invoice,69.87,
MISMATCH,07-14514-69196,5.55,5.97,-0.42,SO2604-0744,1401,2,Order|Other fee,1,IN2604-0871,882,invoice,5.97,
MATCH,07-14531-27387,186.08,186.08,0.00,SO2604-0947,1677,1,Order,1,IN2604-1076,1087,invoice,186.08,
MISMATCH,08-14513-00533,58.99,63.18,-4.19,SO2604-0749,1406,2,Order|Other fee,1,IN2604-0862,873,invoice,63.18,
MISMATCH,08-14534-03485,-0.33,4.90,-5.23,SO2604-0989,1737,1,Other fee,1,IN2604-1127,1139,invoice,4.90,
MATCH,09-14504-08917,610.36,610.36,0.00,SO2604-0667,1267,1,Order,1,IN2604-0761,771,invoice,610.36,
MATCH,09-14513-32019,57.12,57.12,0.00,SO2604-0768,1426,1,Order,1,IN2604-0894,905,invoice,57.12,
MISMATCH,09-14518-31202,29.41,31.41,-2.00,SO2604-0847,1555,2,Order|Other fee,1,IN2604-0975,986,invoice,31.41,
MATCH,09-14524-34375,139.27,139.27,0.00,SO2604-0919,1645,1,Order,1,IN2604-1030,1041,invoice,139.27,
MATCH,09-14525-29809,611.07,611.07,0.00,SO2604-0925,1651,1,Order,1,IN2604-1093,1104,invoice,611.07,
NO_LINKED_INVOICES,09-14525-89285,0.00,0.00,0.00,SO2604-0930,1659,4,Order|Other fee|Refund,0,,,,,Sales order SO2604-0930 has no linked invoices/credit notes
MISSING_IN_DOLIBARR,10-14387-92639,-10.27,,,,,1,Shipping label,0,,,,,No sales order with this ref_client
MISMATCH,10-14505-44847,30.28,32.45,-2.17,SO2604-0689,1321,2,Order|Other fee,1,IN2604-0800,811,invoice,32.45,
MATCH,11-14499-69203,57.66,57.66,0.00,SO2604-0657,1255,1,Order,1,IN2604-0746,756,invoice,57.66,
MISSING_IN_DOLIBARR,12-14358-49690,0.43,,,,,1,Other fee,0,,,,,No sales order with this ref_client
MISMATCH,12-14452-88165,-15.41,19.99,-35.40,SO2604-0040,41,2,Other fee|Refund,1,IN2604-0014,20,invoice,19.99,
MATCH,12-14496-00562,83.96,83.96,0.00,SO2604-0632,1223,1,Order,1,IN2604-0690,700,invoice,83.96,
MISMATCH,12-14502-59786,40.70,43.41,-2.71,SO2604-0690,1322,2,Order|Other fee,1,IN2604-0813,824,invoice,43.41,
MISMATCH,12-14530-06054,-0.36,5.67,-6.03,SO2604-1009,1761,1,Other fee,1,IN2604-1139,1151,invoice,5.67,
MISMATCH,12-14530-08128,-3.45,57.54,-60.99,SO2604-1007,1759,1,Other fee,1,IN2604-1153,1165,invoice,57.54,
MISSING_IN_DOLIBARR,13-14423-71724,-8.16,,,,,1,Shipping label,0,,,,,No sales order with this ref_client
MISMATCH,13-14474-12402,-4.13,4.09,-8.22,SO2604-0394,920,2,Other fee|Refund,1,IN2604-0408,433,invoice,4.09,
MATCH,13-14496-46901,23.27,23.27,0.00,SO2604-0649,1247,1,Order,1,IN2604-0754,764,invoice,23.27,
MISMATCH,13-14503-17208,54.12,57.56,-3.44,SO2604-0699,1344,2,Order|Other fee,1,IN2604-0807,818,invoice,57.56,
MISMATCH,13-14517-98621,9.34,10.00,-0.66,SO2604-0907,1633,2,Order|Other fee,1,IN2604-1005,1016,invoice,10.00,
MISMATCH,14-14502-41374,55.76,59.36,-3.60,SO2604-0714,1367,2,Order|Other fee,1,IN2604-0849,860,invoice,59.36,
MISMATCH,14-14505-09139,41.76,44.66,-2.90,SO2604-0756,1413,2,Order|Other fee,1,IN2604-0866,877,invoice,44.66,
MISMATCH,14-14512-22342,2.08,2.25,-0.17,SO2604-0866,1590,2,Order|Other fee,1,IN2604-1062,1073,invoice,2.25,
MISMATCH,14-14516-28523,27.48,29.41,-1.93,SO2604-0908,1634,2,Order|Other fee,1,IN2604-1044,1055,invoice,29.41,
MISMATCH,14-14522-20092,37.07,39.54,-2.47,SO2604-0962,1692,2,Order|Other fee,1,IN2604-1055,1066,invoice,39.54,
MATCH,15-14489-37988,39.12,39.12,0.00,SO2604-0615,1192,1,Order,1,IN2604-0624,634,invoice,39.12,
MATCH,15-14507-41852,86.54,86.54,0.00,SO2604-0810,1468,1,Order,1,IN2604-0941,952,invoice,86.54,
MATCH,15-14510-62611,111.39,111.39,0.00,SO2604-0865,1589,1,Order,1,IN2604-1015,1026,invoice,111.39,
MATCH,15-14510-87796,479.48,479.48,0.00,SO2604-0871,1595,1,Order,1,IN2604-1102,1113,invoice,479.48,
MISMATCH,15-14514-48131,60.72,64.83,-4.11,SO2604-0904,1630,2,Order|Other fee,1,IN2604-1046,1057,invoice,64.83,
MISMATCH,15-14522-63310,-4.34,69.84,-74.18,SO2604-0977,1722,1,Other fee,1,IN2604-1091,1102,invoice,69.84,
MISMATCH,16-14452-60049,-15.32,19.99,-35.31,SO2604-0149,154,2,Other fee|Refund,1,IN2604-0027,33,invoice,19.99,
MATCH,16-14493-93590,555.52,555.52,0.00,SO2604-0668,1277,1,Order,1,IN2604-0766,776,invoice,555.52,
MISMATCH,16-14516-45127,16.62,17.64,-1.02,SO2604-0935,1665,2,Order|Other fee,1,IN2604-0999,1010,invoice,17.64,
MISMATCH,17-14501-62020,14.80,15.71,-0.91,SO2604-0771,1429,2,Order|Other fee,1,IN2604-0896,907,invoice,15.71,
MISMATCH,17-14507-83479,12.16,12.98,-0.82,SO2604-0870,1594,2,Order|Other fee,1,IN2604-1007,1018,invoice,12.98,
MATCH,17-14511-34923,139.36,139.36,0.00,SO2604-0903,1629,1,Order,1,IN2604-1034,1045,invoice,139.36,
MISMATCH,17-14511-97113,38.88,41.38,-2.50,SO2604-0914,1640,2,Order|Other fee,1,IN2604-1075,1086,invoice,41.38,
MATCH,17-14517-56157,126.70,126.70,0.00,SO2604-0960,1690,1,Order,1,IN2604-1002,1013,invoice,126.70,
MISMATCH,18-14491-17797,49.51,53.03,-3.52,SO2604-0670,1279,2,Order|Other fee,1,IN2604-0752,762,invoice,53.03,
MATCH,18-14503-94041,7.09,7.09,0.00,SO2604-0818,1476,1,Order,1,IN2604-0939,950,invoice,7.09,
MATCH,19-14504-56495,184.08,184.08,0.00,SO2604-0862,1585,1,Order,1,IN2604-1010,1021,invoice,184.08,
MISMATCH,19-14510-07661,26.40,28.18,-1.78,SO2604-0921,1647,2,Order|Other fee,1,IN2604-1026,1037,invoice,28.18,
MISSING_IN_DOLIBARR,20-14212-66463,-141.61,,,,,2,Other fee|Refund,0,,,,,No sales order with this ref_client
MISSING_IN_DOLIBARR,20-14418-00903,-11.58,,,,,2,Other fee|Refund,0,,,,,No sales order with this ref_client
MATCH,20-14488-98785,95.76,95.76,0.00,SO2604-0682,1314,1,Order,1,IN2604-0792,803,invoice,95.76,
MATCH,20-14497-66175,87.14,87.14,0.00,SO2604-0779,1437,1,Order,1,IN2604-0916,927,invoice,87.14,
MISMATCH,20-14499-23376,54.18,57.60,-3.42,SO2604-0801,1459,2,Order|Other fee,1,IN2604-0942,953,invoice,57.60,
MISMATCH,20-14513-27347,1.28,1.40,-0.12,SO2604-0964,1694,2,Order|Other fee,1,IN2604-1061,1072,invoice,1.40,
MISSING_IN_DOLIBARR,21-14394-70457,-15.73,,,,,1,Shipping label,0,,,,,No sales order with this ref_client
MATCH,22-14483-00794,31.14,31.14,0.00,SO2604-0652,1250,1,Order,1,IN2604-0735,745,invoice,31.14,
MISMATCH,22-14483-01312,-0.40,901.14,-901.54,SO2604-0651,1249,2,Order|Refund,1,IN2604-0763,773,invoice,901.14,
MATCH,22-14504-23837,2.49,2.50,-0.01,SO2604-0905,1631,1,Order,1,IN2604-1009,1020,invoice,2.50,
MATCH,22-14508-02034,3.89,3.90,-0.01,SO2604-0938,1668,1,Order,1,IN2604-1001,1012,invoice,3.90,
MISSING_IN_DOLIBARR,23-14378-42189,-34.07,,,,,3,Other fee|Refund|Shipping label,0,,,,,No sales order with this ref_client
MATCH,23-14481-10083,6.73,6.73,0.00,SO2604-0646,1244,1,Order,1,IN2604-0725,735,invoice,6.73,
MISMATCH,23-14489-26336,139.11,124.11,15.00,SO2604-0716,1370,1,Order,1,IN2604-0850,861,invoice,124.11,
MISMATCH,24-14462-03670,-4.61,4.63,-9.24,SO2604-0230,692,2,Other fee|Refund,2,IN2604-0273|IC2604-0052,298|1474,invoice|credit_note,5.99|-1.36,
MATCH,24-14495-17178,5.84,5.84,0.00,SO2604-0654,1252,1,Order,1,IN2604-0724,734,invoice,5.84,
MATCH,24-14496-27667,485.72,485.72,0.00,SO2604-0662,1262,1,Order,1,IN2604-0727,737,invoice,485.72,
MATCH,24-14505-67957,187.98,187.98,0.00,SO2604-0764,1422,1,Order,1,IN2604-0881,892,invoice,187.98,
MISMATCH,24-14520-26855,43.72,46.67,-2.95,SO2604-0945,1675,2,Order|Other fee,1,IN2604-1068,1079,invoice,46.67,
MATCH,25-14476-22371,57.54,57.54,0.00,SO2604-0624,1211,1,Order,1,IN2604-0673,683,invoice,57.54,
MISMATCH,25-14491-15772,611.62,596.62,15.00,SO2604-0788,1446,1,Order,1,IN2604-0927,938,invoice,596.62,
MISMATCH,26-14429-81176,-17.49,100.00,-117.49,SO2604-0098,99,1,Refund,1,IN2604-0131,140,invoice,100.00,
MATCH,26-14481-65255,96.14,96.14,0.00,SO2604-0691,1323,1,Order,1,IN2604-0795,806,invoice,96.14,
MISMATCH,26-14489-18791,12.20,13.01,-0.81,SO2604-0785,1443,2,Order|Other fee,1,IN2604-0925,936,invoice,13.01,
MISMATCH,26-14495-51229,213.89,198.89,15.00,SO2604-0880,1604,1,Order,1,IN2604-1018,1029,invoice,198.89,
MATCH,26-14496-53559,72.78,72.78,0.00,SO2604-0888,1614,1,Order,1,IN2604-1045,1056,invoice,72.78,
MISMATCH,27-14491-46337,50.33,53.46,-3.13,SO2604-0842,1550,2,Order|Other fee,1,IN2604-0978,989,invoice,53.46,
MATCH,27-14492-07747,72.00,72.00,0.00,SO2604-0849,1567,1,Order,1,IN2604-0979,990,invoice,72.00,
MISMATCH,27-14499-72358,45.46,48.33,-2.87,SO2604-0932,1661,2,Order|Other fee,1,IN2604-1054,1065,invoice,48.33,
